layer,head,program_idx,iou_score
0,0,64,0.569
0,1,37,0.853
0,2,73,0.602
0,3,48,0.703
0,4,37,0.384
0,5,37,0.71
0,6,64,0.55
0,7,37,0.591
0,8,29,0.524
0,9,70,0.74
0,10,70,0.655
0,11,70,0.698
1,0,37,0.566
1,1,29,0.61
1,2,29,0.642
1,3,73,0.676
1,4,73,0.767
1,5,73,0.553
1,6,73,0.688
1,7,73,0.755
1,8,73,0.717
1,9,73,0.699
1,10,37,0.662
1,11,37,0.567
2,0,21,0.594
2,1,69,0.684
2,2,44,0.495
2,3,20,0.496
2,4,29,0.504
2,5,29,0.535
2,6,73,0.621
2,7,20,0.679
2,8,21,0.532
2,9,20,0.52
2,10,20,0.664
2,11,69,0.759
3,0,89,0.915
3,1,34,0.585
3,2,66,0.464
3,3,77,0.583
3,4,79,0.896
3,5,69,0.592
3,6,57,0.51
3,7,66,0.503
3,8,29,0.475
3,9,26,0.525
3,10,87,0.704
3,11,18,0.505
4,0,43,0.489
4,1,26,0.489
4,2,42,0.782
4,3,25,0.515
4,4,42,0.775
4,5,43,0.592
4,6,69,0.607
4,7,17,0.494
4,8,42,0.771
4,9,25,0.578
4,10,79,0.858
4,11,44,0.956
5,0,63,0.819
5,1,2,0.988
5,2,77,0.507
5,3,73,0.616
5,4,75,0.545
5,5,63,0.872
5,6,65,0.705
5,7,35,0.627
5,8,42,0.735
5,9,79,0.875
5,10,69,0.64
5,11,80,0.702
6,0,25,0.515
6,1,83,0.665
6,2,42,0.838
6,3,42,0.749
6,4,69,0.677
6,5,69,0.699
6,6,42,0.811
6,7,69,0.584
6,8,77,0.585
6,9,48,0.965
6,10,63,0.905
6,11,77,0.541
7,0,77,0.595
7,1,79,0.835
7,2,23,0.976
7,3,42,0.655
7,4,83,0.685
7,5,80,0.636
7,6,42,0.826
7,7,63,0.824
7,8,77,0.565
7,9,80,0.641
7,10,48,0.949
7,11,63,0.877
8,0,42,0.803
8,1,48,0.891
8,2,69,0.635
8,3,42,0.81
8,4,65,0.598
8,5,75,0.532
8,6,79,0.738
8,7,77,0.561
8,8,69,0.601
8,9,42,0.749
8,10,69,0.713
8,11,79,0.839
9,0,83,0.73
9,1,63,0.896
9,2,42,0.735
9,3,77,0.59
9,4,63,0.893
9,5,42,0.84
9,6,51,0.933
9,7,42,0.753
9,8,42,0.816
9,9,48,0.953
9,10,80,0.621
9,11,48,0.912
10,0,63,0.84
10,1,51,0.926
10,2,63,0.891
10,3,79,0.828
10,4,42,0.635
10,5,83,0.71
10,6,63,0.89
10,7,42,0.751
10,8,85,0.932
10,9,80,0.629
10,10,51,0.924
10,11,83,0.714
11,0,70,0.62
11,1,42,0.833
11,2,63,0.906
11,3,80,0.621
11,4,42,0.777
11,5,63,0.876
11,6,63,0.924
11,7,42,0.8
11,8,37,0.469
11,9,63,0.894
11,10,69,0.659
11,11,69,0.621
